market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,share_algo_belief,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,repetition,gamified,hybrid,algo_present,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,1,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5015.0,33.380918415851255,0.0029910269192422734,,,0.0,0.125,0.25,0.625,1,1,1,0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,1,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5015.0,41.31758532565598,0.003115653040877368,,,0.0,0.25,0.125,0.625,1,0,0,0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,2,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5001.0,28.585710716070302,0.0028369326134773045,,,0.0,0.125,0.25,0.625,1,1,1,0,4.0,120.0,8.0,21.0,170.0,90.0,170.0,90.0,112,150.0,,100.0,0.1333333333333333,0.1875,0,0,0.07142857142857142,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,2,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5001.0,10.5390430576702,0.0009966756648670265,,,0.0,0.25,0.125,0.625,1,0,0,0,3.0,115.16666666666667,3.1666666666666665,4.5,117.5,110.0,118.0,110.0,112,115.0,,90.0,0.021739130434782705,0.04017857142857143,0,0,0.028273809523809566,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5001.0,27.95404391905708,0.0027119576084783043,23.625,43.811079811911895,0.0,0.125,0.25,0.625,1,1,1,0,4.0,96.25,-7.75,7.75,100.0,100.0,100.0,90.0,104,170.0,150.0,120.0,-0.4117647058823529,0.07451923076923077,0,0,-0.07451923076923077,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,3,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5001.0,13.263806822650091,0.0013528544291141773,0.0,0.0,0.0,0.25,0.125,0.625,1,0,0,0,4.0,103.0,-1.0,8.0,90.0,111.0,111.0,90.0,104,117.5,115.0,78.0,-0.23404255319148937,0.07692307692307693,0,0,-0.009615384615384616,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,4,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5181.0,63.567736650419924,0.006411648330438139,,,0.0,0.125,0.25,0.625,1,1,1,0,2.0,125.0,29.0,29.0,120.0,130.0,130.0,120.0,96,100.0,170.0,90.0,0.19999999999999996,0.3020833333333333,0,0,0.3020833333333333,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,4,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5181.0,81.22147851048126,0.008181938814900598,,,0.0,0.25,0.125,0.625,1,0,0,0,5.0,83.5,-12.5,12.5,78.0,85.0,89.0,78.0,96,90.0,117.5,69.0,-0.1333333333333333,0.13020833333333334,0,0,-0.13020833333333334,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,5,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5361.0,136.99947862257412,0.013168019026301063,,,0.0,0.125,0.25,0.625,1,1,1,0,5.0,104.0,16.0,16.0,90.0,120.0,130.0,90.0,88,120.0,100.0,80.0,-0.25,0.18181818181818182,0,0,0.18181818181818182,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,5,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5361.0,165.3090179892538,0.016105903749300505,,,0.0,0.25,0.125,0.625,1,0,0,0,4.0,74.75,-13.25,13.25,69.0,80.0,80.0,69.0,88,78.0,90.0,88.0,-0.11538461538461542,0.15056818181818182,0,0,-0.15056818181818182,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,6,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5311.0,131.39145438617496,0.012915411410280549,23.625,43.811079811911895,0.0,0.125,0.25,0.625,1,1,1,0,4.0,81.0,1.0,1.0,80.0,82.0,82.0,80.0,80,90.0,120.0,77.0,-0.11111111111111116,0.0125,0,0,0.0125,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,6,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5301.0,135.3384645989454,0.013317062818336164,12.375,35.0017856687341,0.0,0.25,0.125,0.625,1,0,0,0,5.0,78.6,-1.4,5.4,88.0,65.0,88.0,65.0,80,69.0,78.0,72.0,0.2753623188405796,0.0675,0,0,-0.01750000000000007,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,7,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5492.5,191.49263320407022,0.01826923076923077,,,0.0,0.125,0.25,0.625,1,1,1,0,5.0,80.0,8.0,8.0,77.0,80.0,84.0,77.0,72,80.0,90.0,66.0,-0.03749999999999998,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,7,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5482.75,220.89784322816993,0.020974875746659977,,,0.0,0.25,0.125,0.625,1,0,0,0,3.0,76.0,4.0,5.333333333333333,72.0,86.0,86.0,70.0,72,88.0,69.0,68.0,-0.18181818181818177,0.07407407407407407,0,0,0.05555555555555555,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,8,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5432.0,169.20739598830443,0.01607948269513991,,,0.0,0.125,0.25,0.625,1,1,1,0,2.0,70.5,6.5,6.5,66.0,75.0,75.0,66.0,64,77.0,80.0,55.0,-0.1428571428571429,0.1015625,0,0,0.1015625,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,8,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5431.25,187.2122553985945,0.017963176064441887,,,0.0,0.25,0.125,0.625,1,0,0,0,6.0,65.0,1.0,1.6666666666666667,68.0,64.0,68.0,62.0,64,72.0,88.0,60.0,-0.05555555555555558,0.026041666666666668,0,0,0.015625,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5606.5,228.01441057216408,0.02125880674217426,0.0,0.0,0.0,0.125,0.25,0.625,1,1,1,0,3.0,65.33333333333333,9.333333333333334,10.0,55.0,66.0,75.0,55.0,56,66.0,77.0,66.0,-0.16666666666666663,0.17857142857142858,0,0,0.16666666666666657,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,9,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5604.25,271.58476708807825,0.02541319088191997,28.75,40.152388294026615,0.0,0.25,0.125,0.625,1,0,0,0,5.0,62.2,6.2,6.2,60.0,63.0,64.0,60.0,56,68.0,72.0,65.0,-0.11764705882352944,0.11071428571428572,0,0,0.11071428571428577,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,10,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5486.5,186.69685130101763,0.017725325799690148,,,0.0,0.125,0.25,0.625,1,1,1,0,4.0,57.5,9.5,9.5,66.0,66.0,66.0,48.0,48,55.0,66.0,66.0,0.19999999999999996,0.19791666666666666,0,0,0.19791666666666666,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,10,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5485.25,225.61534902192648,0.021589148170092522,,,0.0,0.25,0.125,0.625,1,0,0,0,3.0,62.333333333333336,14.333333333333334,14.333333333333334,65.0,62.0,65.0,60.0,48,60.0,68.0,43.0,0.08333333333333326,0.2986111111111111,0,0,0.29861111111111116,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,11,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5486.5,186.69685130101763,0.017725325799690148,,,0.0,0.125,0.25,0.625,1,1,1,0,0.0,,,,66.0,,,,40,66.0,55.0,33.0,0.0,,0,0,,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,11,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5485.25,222.9942343905523,0.02139259833189007,,,0.0,0.25,0.125,0.625,1,0,0,0,5.0,43.6,3.6,3.6,43.0,42.0,45.0,42.0,40,65.0,60.0,40.0,-0.3384615384615385,0.09,0,0,0.09000000000000004,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,12,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5486.5,186.87046697798834,0.01779937118381482,24.75,35.95532942813505,0.0,0.125,0.25,0.625,1,1,1,0,3.0,35.333333333333336,3.3333333333333335,3.3333333333333335,33.0,38.0,38.0,33.0,32,66.0,66.0,80.0,-0.5,0.10416666666666667,0,0,0.10416666666666674,0,0,0,0,0
5c7e4638-30e0-4888-990f-24f3d564c836,12,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5485.25,232.2470974753275,0.022221525910396063,9.0,12.421180068162375,0.0,0.25,0.125,0.625,1,0,0,0,6.0,38.5,6.5,6.5,40.0,40.0,44.0,32.0,32,43.0,65.0,24.0,-0.06976744186046513,0.203125,0,0,0.203125,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,13,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5489.5,196.41683263625126,0.018945828399672102,,,0.0,0.125,0.25,0.625,1,1,1,0,2.0,85.025,61.025,61.025,80.0,90.05,90.05,80.0,24,33.0,66.0,11.0,1.4242424242424243,2.542708333333333,1,0,2.5427083333333336,1,1,1,0,1
5c7e4638-30e0-4888-990f-24f3d564c836,13,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5488.25,236.0565912778422,0.022693367649068465,,,0.0,0.25,0.125,0.625,1,0,0,0,5.0,23.0,-1.0,1.0,24.0,23.0,24.0,22.0,24,40.0,43.0,14.0,-0.4,0.041666666666666664,0,0,-0.041666666666666664,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,14,8,33.125,0.625,0.375,0.5,0.75,0.6145833333333334,0.2743589208688455,6.875,0.0729166666666667,0.5388801954788885,2.0,0.5,5487.5,209.4660916984622,0.020125569476082007,,,0.0,0.125,0.25,0.625,1,1,1,0,4.0,43.5,27.5,31.5,11.0,80.0,80.0,11.0,16,80.0,33.0,19.0,-0.8625,1.96875,0,0,1.71875,1,0,1,0,2
5c7e4638-30e0-4888-990f-24f3d564c836,14,8,31.5,0.625,0.0,0.5,0.75,0.5,0.3779644730092272,6.5,0.15,0.6535616704970214,2.0,,5486.25,237.31474127953229,0.022769708361813624,,,0.0,0.25,0.125,0.625,1,0,0,0,7.0,17.85,1.8499999999999999,3.564285714285714,14.0,24.0,24.0,13.0,16,24.0,40.0,10.0,-0.41666666666666663,0.22276785714285713,0,0,0.11562500000000009,0,0,0,0,0
